site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ceratonia siliqua,Cerasili,shrub,0,0,NA,2,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista tridens,Genitrids,tree,0,0,NA,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Calicotome villosa,Calivill,shrub,0,0,NA,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista tridentata,Genitrid,shrub,0,0,NA,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Phlomys purpurea,Phlopurp,shrub,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Dittrichia viscosa,Dittvisc,tree,0,0,NA,NA,NA,NA,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Viburnum tinus,Vibutinu,shrub,0,0,NA,2,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Erica scoparia,Ericscop,tree,0,0,NA,5,1,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Olea europaea,Oleaeuro,shrub,0,0,NA,1,NA,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Teucrium fruticans,Teucfrut,shrub,2,1,1,2,NA,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Rosa sempervirens,Rosasemp,shrub,0,0,NA,2,NA,NA,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista tridens,Genitrids,shrub,0,0,NA,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus ladanifer,Cistlada,tree,0,0,NA,NA,0,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus lusitanica,Querlusi,shrub,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Halimium halimifolium,Halihali,tree,0,0,NA,5,0,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus canariensis,Quercana,tree,28.2,1,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista triacanthos,Genitria,shrub,0,0,NA,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Erica australis,Ericaust,tree,0,0,NA,5,1,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Viburnum tinus,Vibutinu,tree,0,0,NA,2,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Erica arborea,Ericarbo,tree,0,0,NA,5,1,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Thymus baeticus,Thymbaet,shrub,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Crataegus monogyna,Cratmono,shrub,0,0,NA,3,1,2,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Myrtus communis,Myrtcomm,shrub,0,0,NA,2,NA,2,2
