species,site,shrub_tree,in_out,cover,presence
bare,Hernan_Martin,tree,outside,29.5,1
bare,Laguna_Picacho,shrub,inside,16.6,1
bare,Laguna_Picacho,tree,inside,22.900000000000002,1
bare,Laguna_Picacho,shrub,outside,24.950000000000003,1
bare,Laguna_Picacho,tree,outside,35.9,1
bare,Las_Naranjas,shrub,inside,10,1
bare,Las_Naranjas,tree,inside,28.6,1
bare,Las_Naranjas,shrub,outside,14.8,1
bare,Las_Naranjas,tree,outside,16.900000000000002,1
bare,Laurel,shrub,inside,6,1
bare,Laurel,tree,inside,20.6,1
bare,Laurel,shrub,outside,9.850000000000001,1
bare,Laurel,tree,outside,22.5,1
bare,Mogea_Luenga2,shrub,inside,4.300000000000001,1
bare,Mogea_Luenga2,tree,inside,40,1
bare,Mogea_Luenga2,shrub,outside,7.100000000000001,1
bare,Mogea_Luenga2,tree,outside,30.1,1
bare,Palancar,shrub,inside,26.6,1
bare,Palancar,tree,inside,27.700000000000003,1
bare,Palancar,shrub,outside,15.2,1
bare,Palancar,tree,outside,9.1,1
bare,Puertollano,shrub,inside,12.6,1
bare,Puertollano,tree,inside,34.4,1
bare,Puertollano,shrub,outside,19.3,1
bare,Puertollano,tree,outside,25.1,1
bare,Teja1,shrub,inside,21.75,1
bare,Teja1,tree,inside,30.5,1
bare,Teja1,shrub,outside,27.800000000000004,1
bare,Teja1,tree,outside,27.8,1
Calicotome villosa,Aljibe,shrub,inside,0,0
Calicotome villosa,Aljibe,tree,inside,0,0
Calicotome villosa,Aljibe,shrub,outside,0,0
Calicotome villosa,Aljibe,tree,outside,0,0
Calicotome villosa,Barrancones,shrub,inside,0,0
Calicotome villosa,Barrancones,tree,inside,0,0
Calicotome villosa,Barrancones,shrub,outside,0,0
Calicotome villosa,Barrancones,tree,outside,0,0
Calicotome villosa,Beatas1,shrub,inside,7.549999999999995,1
Calicotome villosa,Beatas1,tree,inside,0,0
Calicotome villosa,Beatas1,shrub,outside,5.8,1
Calicotome villosa,Beatas1,tree,outside,0,0
Calicotome villosa,Caheruelas4,shrub,inside,0.10000000000000142,1
Calicotome villosa,Caheruelas4,tree,inside,0,0
Calicotome villosa,Caheruelas4,shrub,outside,1.3999999999999995,1
Calicotome villosa,Caheruelas4,tree,outside,0,0
Calicotome villosa,Caheruelas5,shrub,inside,2.450000000000003,1
Calicotome villosa,Caheruelas5,tree,inside,0,0
Calicotome villosa,Caheruelas5,shrub,outside,4.850000000000001,1
Calicotome villosa,Caheruelas5,tree,outside,0,0
Calicotome villosa,Cucarretes1,shrub,inside,0.9499999999999993,1
Calicotome villosa,Cucarretes1,tree,inside,0,0
Calicotome villosa,Cucarretes1,shrub,outside,5.8000000000000025,1
Calicotome villosa,Cucarretes1,tree,outside,0,0
Calicotome villosa,Cucarretes2,shrub,inside,0,0
Calicotome villosa,Cucarretes2,tree,inside,0,0
Calicotome villosa,Cucarretes2,shrub,outside,2.350000000000004,1
Calicotome villosa,Cucarretes2,tree,outside,0,0
Calicotome villosa,Cuevas_Hospital2,shrub,inside,4.699999999999998,1
Calicotome villosa,Cuevas_Hospital2,tree,inside,0,0
